Date,Symbol,Open,High,Low,Close,Volume,Marketcap
2019-12-17,AAPL,279.57,281.77,278.8,280.42,24453671,6857298421.82
2019-12-18,AAPL,279.8,281.9,279.12,279.71,22974624,6426232079.04
2019-12-19,AAPL,279.61,281.18,278.95,280.03,17776673,4978001740.19
2019-12-20,AAPL,282.23,282.65,278.56,279.28,34326205,9586622532.4
2019-12-23,AAPL,280.53,284.25,280.3735,283.97,18929964,5375541877.08
2019-12-24,AAPL,284.69,284.89,282.9197,284.2762,9678447,2751352135.0614
2019-12-26,AAPL,284.78,289.98,284.7,289.91,20772521,6022161563.11
2019-12-27,AAPL,291.12,293.97,288.12,289.83,32927275,9543312113.25
2019-12-30,AAPL,289.46,292.69,285.22,291.647,33920736,9892880892.192
2019-12-31,AAPL,289.93,293.68,289.52,293.37,21437960,6289254325.2
2020-01-02,AAPL,296.24,300.6,295.19,300.58,30589026,9194449435.08
2020-01-03,AAPL,297.15,300.58,296.5,297.38,31609363,9399992368.94
2020-01-06,AAPL,293.79,299.96,292.75,299.78,27487207,8240114914.46
2020-01-07,AAPL,299.84,300.9,297.48,298.27,23877417,7121917168.59
2020-01-08,AAPL,297.16,304.4399,297.156,303.15,29547763,8957404353.45
2020-01-09,AAPL,307.25,310.43,306.2,309.71,39240341,12153126011.11
2020-01-10,AAPL,310.6,312.67,308.25,310.37,32981826,10236569335.62
2020-01-13,AAPL,311.66,317.07,311.15,316.97,28105058,8908460234.26
2020-01-14,AAPL,316.7,317.57,312.17,312.69,37279469,11656917161.61
2020-01-15,AAPL,311.85,315.5,309.55,311.5,28107488,8755482512
2020-01-16,AAPL,313.59,315.7,312.09,315.33,24013095,7572049246.35
2020-01-17,AAPL,316.27,318.74,315,318.67,30204740,9625344495.8
2020-01-21,AAPL,317.19,319.02,316,316.55,44685529,14145204204.95
2020-01-22,AAPL,318.75,319.99,317.31,317.7,44852758,14249721216.6
2020-01-23,AAPL,317.86,319.56,315.65,319.2899,41293070,13184460190.993
2020-01-24,AAPL,320.25,323.33,317.5188,318.33,67508467,21489970300.11
2020-01-27,AAPL,310.06,311.77,304.88,308.96,35107297,10846750481.12
2020-01-28,AAPL,312.6,318.4,312.19,317.76,30754951,9772693229.76
2020-01-29,AAPL,324.45,327.85,321.38,324.32,47978319,15560328418.08
2020-01-30,AAPL,320.65,324.09,318.75,323.8762,29370141,9512289660.5442
2020-01-31,AAPL,320.95,322.68,308.29,309.33,46153891,14276783103.03
2020-02-03,AAPL,304.3,313.49,302.22,308.71,40308612,12443671610.52
2020-02-04,AAPL,315.31,319.64,313.6345,318.86,30865583,9841799795.38
2020-02-05,AAPL,323.52,324.4,318.95,321.58,26442843,8503489451.94
2020-02-06,AAPL,322.57,325.22,320.2648,325.21,23365266,7598618155.86
2020-02-07,AAPL,322.37,323.4,318,320.04,27107613,8675520464.52
2020-02-10,AAPL,314.18,321.54,313.85,321.54,23748626,7636133204.04
2020-02-11,AAPL,323.6,323.9,318.71,319.61,21422946,6846987771.06
2020-02-12,AAPL,321.62,327.21,321.47,327.2,24425223,7991932965.6
2020-02-13,AAPL,324.19,326.22,323.35,324.91,21088852,6851978903.32
2020-02-14,AAPL,324.74,325.98,322.85,324.94,17502899,5687392001.06
2020-02-18,AAPL,315.36,319.75,314.61,319,34217504,10915383776
2020-02-19,AAPL,320,324.57,320,323.62,19929550,6449600971
2020-02-20,AAPL,322.55,324.65,318.21,320.3,22805445,7304584033.5
2020-02-21,AAPL,318.62,320.45,310.5,313.03,29739870,9309471506.1
2020-02-24,AAPL,297.26,304.18,289.23,298.17,49427633,14737837331.61
2020-02-25,AAPL,300.95,302.53,286.13,288.08,52521891,15130506359.28
2020-02-26,AAPL,286.53,297.88,286.5,292.69,46094168,13491302031.92
2020-02-27,AAPL,281.1,286,272.96,273.04,72477356,19789217282.24
2020-02-28,AAPL,257.26,278.41,256.37,274.64,96710951,26560695582.64
2020-03-02,AAPL,282.28,301.44,277.72,298.82,78891672,23574409427.04
2020-03-03,AAPL,303.67,304,285.8,289.31,74214898,21471112140.38
2020-03-04,AAPL,296.44,303.4,293.13,302.76,49969205,15128676505.8
2020-03-05,AAPL,295.52,299.55,291.41,292.92,42089988,12328999284.96
2020-03-06,AAPL,282,290.82,281.23,288.98,51462221,14871552624.58
2020-03-09,AAPL,263.75,278.09,263,266.09,130952816,34845234809.44
2020-03-10,AAPL,277.14,286.44,269.37,285.69,65679929,18764098916.01
2020-03-11,AAPL,277.39,281.22,271.86,275.3,58216000,16026864800
2020-03-12,AAPL,255.94,270,248,248,96606887,23958507976
2020-03-13,AAPL,264.89,279.92,252.95,278.06,83319113,23167712560.78
2020-03-16,AAPL,241.95,259.08,240,241.47,74222204,17922435599.88
2020-03-17,AAPL,247.51,257.61,238.4,252.85,151273870,38249598029.5
2020-03-18,AAPL,239.77,250,237.12,249,62337123,15521943627
2020-03-19,AAPL,247.385,252.84,242.61,244.78,61569852,15071068372.56
2020-03-20,AAPL,247.18,251.83,228,228.74,83656772,19135650027.28
2020-03-23,AAPL,228.08,228.4997,212.61,223.43,77575565,17332708487.95
2020-03-24,AAPL,236.36,247.69,234.3,246.88,64013339,15803613132.32
2020-03-25,AAPL,250.82,258.25,244.3,245.465,67944382,16677967727.63
2020-03-26,AAPL,246.52,258.68,246.36,258.48,54641901,14123838570.48
2020-03-27,AAPL,252.75,255.87,247.05,247.62,45641532,11301756153.84
2020-03-30,AAPL,250.74,255.52,249.4,254.79,37524398,9560841366.42
2020-03-31,AAPL,255.6,262.49,252,254.3,41083385,10447504805.5
2020-04-01,AAPL,246.5,248.72,239.13,240.76,39826068,9588524131.68
2020-04-02,AAPL,240.34,245.15,236.9,244.93,75974814,18608511193.02
2020-04-03,AAPL,242.8,245.7,238.9741,241.43,29119767,7030385346.81
2020-04-06,AAPL,250.9,263.11,249.38,262.285,43802547,11488751039.895
2020-04-07,AAPL,270.8,271.7,259,259.385,47214898,12246836317.73
